seed algoritmo best_solution best_fitness evaluations time_ms
42 RandomSearch "297 7030 4033 3580 5292 8696 5297 6890 1099 4680" 11.5 1000 583
42 Greedy "5516 6557 570 8817 6890 2288 6835 8345 4677 7406" 13.7 1000 17
42 LSall "920 5113 8100 5207 8686 4968 7802 3008 1589 7508" 10.8 1000 214
42 BLsmall "2371 5113 141 5207 8686 4968 7802 3008 1589 7960" 10.8 24 45
43 RandomSearch "8659 8182 3967 6256 1469 1782 2106 6792 6557 7333" 11.3 1000 748
43 Greedy "5516 6557 570 8817 6890 2288 6835 8345 4677 7406" 13.7 1000 13
43 LSall "3447 3998 1048 7850 7926 1777 7157 4494 8651 6082" 10.8 1000 201
43 BLsmall "3447 3998 3742 7850 7926 1777 7157 4494 8651 3417" 10.8 23 25
44 RandomSearch "570 7794 7756 6051 1192 6516 3861 2317 765 8056" 11.3 1000 782
44 Greedy "5516 6557 570 8817 6890 2288 6835 8345 4677 7406" 13.7 1000 19
44 LSall "4324 7237 378 6866 6890 3975 1126 6444 570 5288" 11.5 1000 316
44 BLsmall "4324 7240 1336 6866 4209 5914 715 6444 6643 2526" 10.8 25 44
45 RandomSearch "4230 7796 7573 6539 2953 6557 383 4245 2922 892" 11.4 1000 661
45 Greedy "5516 6557 570 8817 6890 2288 6835 8345 4677 7406" 13.7 1000 12
45 LSall "12 5041 5516 3392 7896 2573 8419 1184 5717 761" 11.4 1000 187
45 BLsmall "1674 5041 4386 3392 5330 2573 8419 1184 5717 1236" 10.8 32 36
46 RandomSearch "8358 5208 6850 4646 172 1907 6557 8328 2422 1696" 11.4 1000 625
46 Greedy "5516 6557 570 8817 6890 2288 6835 8345 4677 7406" 13.7 1000 13
46 LSall "912 4687 3513 3595 3548 6062 7684 4306 5224 4569" 10.8 1000 170
46 BLsmall "912 4687 3513 3595 3548 6062 7684 5152 6254 4569" 10.8 23 24
