seed algoritmo best_solution best_fitness evaluations time_ms
42 RandomSearch "2721 1206 4582 2350 2952 26 111 235 2160 1250" 11.5 1000 485
42 Greedy "5884 5337 3473 2455 2798 1896 2984 2392 2442 2555" 12.6 1000 12
42 LSall "163 3473 2479 5884 2392 6008 2798 2636 5918 3045" 12.1 1000 433
42 BLsmall "5472 516 988 5040 1743 1060 5895 2636 3472 2981" 10.8 26 31
43 RandomSearch "4191 4421 6297 998 1733 3858 2024 507 3473 12" 11.3 1000 617
43 Greedy "5884 5337 3473 2455 2798 1896 2984 2392 2442 2555" 12.6 1000 15
43 LSall "4637 5038 3087 516 2897 4486 5337 3623 1504 6111" 11.5 1000 278
43 BLsmall "4637 5038 3087 516 2897 4990 4409 6216 2125 6111" 10.8 21 14
44 RandomSearch "2643 3260 6159 1074 1676 3262 100 3178 4473 6105" 11.3 1000 483
44 Greedy "5884 5337 3473 2455 2798 1896 2984 2392 2442 2555" 12.6 1000 8
44 LSall "4391 420 2921 5697 5337 2749 4467 2710 4479 1817" 11.5 1000 196
44 BLsmall "24 420 2921 5697 1993 2749 4778 2710 4479 1817" 10.8 21 10
45 RandomSearch "4145 3961 442 2506 1112 417 4195 2810 5337 5596" 11.4 1000 491
45 Greedy "5884 5337 3473 2455 2798 1896 2984 2392 2442 2555" 12.6 1000 8
45 LSall "5156 2109 317 2560 3891 1217 1638 5878 6202 2725" 10.8 1000 161
45 BLsmall "1752 2109 317 2560 3803 1217 1638 5878 6202 2725" 10.8 22 17
46 RandomSearch "1172 1144 1267 4332 5884 3600 5131 3111 2568 2124" 11.3 1000 467
46 Greedy "5884 5337 3473 2455 2798 1896 2984 2392 2442 2555" 12.6 1000 8
46 LSall "3473 5528 4979 3470 3575 2841 1064 2700 5884 4486" 11.9 1000 313
46 BLsmall "929 5528 4979 1761 1087 2841 1064 2700 270 3920" 10.8 21 10
