
100	10	8.6e-05	0.001108
200	10	0.000194	0.004459
300	10	0.000622	0.01188
400	10	0.000431	0.017914
500	10	0.000537	0.029407
600	10	0.00073	0.040503
700	10	0.000898	0.055097
800	10	0.000948	0.072375
900	10	0.001097	0.090962
1000	10	0.00119	0.112409
1100	10	0.00132	0.134817
1200	10	0.001554	0.17301
1300	10	0.001671	0.188402
1400	10	0.001737	0.216939
1500	10	0.001953	0.249403
1600	10	0.002068	0.290932
1700	10	0.002437	0.322494
1800	10	0.002291	0.368528
1900	10	0.003133	0.48645
2000	10	0.002587	0.449492
2100	10	0.002779	0.485233
2200	10	0.002921	0.531798
2300	10	0.003152	0.583751
2400	10	0.003248	0.634814
2500	10	0.003428	0.687559
2600	10	0.003533	0.744887
2700	10	0.003688	0.80493
2800	10	0.003808	0.861918
2900	10	0.003973	0.925451
3000	10	0.004137	0.985487
3100	10	0.004293	1.05627
3200	10	0.004486	1.11988
3300	10	0.004554	1.1869
3400	10	0.004735	1.25906
3500	10	0.004896	1.34033
3600	10	0.00501	1.42017
3700	10	0.005185	1.49102
3800	10	0.00534	1.58161
3900	10	0.005562	1.66559
4000	10	0.00599	1.75404
4100	10	0.005791	1.83238
4200	10	0.005931	1.93298
4300	10	0.006152	2.03911
4400	10	0.006334	2.12131
4500	10	0.00671	2.20933
4600	10	0.006734	2.3244
4700	10	0.006872	2.42426
4800	10	0.006947	2.53071
4900	10	0.007253	2.63942
5000	10	0.007277	2.74145
10	100	4.3e-05	0.001102
10	200	8.6e-05	0.004477
10	300	0.000121	0.010064
10	400	0.00016	0.017908
10	500	0.000213	0.027962
10	600	0.000246	0.04048
10	700	0.000287	0.055288
10	800	0.00032	0.072195
10	900	0.000365	0.090393
10	1000	0.000436	0.113926
10	1100	0.00044	0.135757
10	1200	0.000564	0.161042
10	1300	0.000518	0.189647
10	1400	0.000561	0.22052
10	1500	0.000596	0.250416
10	1600	0.000635	0.284486
10	1700	0.000687	0.320436
10	1800	0.000718	0.359159
10	1900	0.000755	0.402216
10	2000	0.000804	0.441934
10	2100	0.00084	0.488621
10	2200	0.00095	0.536784
10	2300	0.000911	0.585345
10	2400	0.001018	0.63771
10	2500	0.000992	0.690651
10	2600	0.001031	0.745405
10	2700	0.00107	0.805139
10	2800	0.001116	0.886167
10	2900	0.001151	0.930595
10	3000	0.0012	0.996237
10	3100	0.001225	1.0575
10	3200	0.00134	1.13675
10	3300	0.001376	1.20124
10	3400	0.001398	1.26237
10	3500	0.001394	1.34963
10	3600	0.001429	1.42761
10	3700	0.001528	1.50803
10	3800	0.001515	1.59093
10	3900	0.001624	1.66716
10	4000	0.001609	1.74802
10	4100	0.001621	1.84469
10	4200	0.001664	1.93538
10	4300	0.001899	2.04915
10	4400	0.001797	2.14179
10	4500	0.001915	2.25431
10	4600	0.002144	2.36121
10	4700	0.001914	2.4505
10	4800	0.00196	2.54544
10	4900	0.001942	2.65369
10	5000	0.001974	2.75349








