seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 ES 1 "12273 3316 12839 6370 17558 12522 4315 7789 11422 10125" 11.4 140 238
43 BMB 1 "2787 16989 15998 7040 17871 2162 1801 18576 19315 1784" 11.4 229 200
43 ILS 1 "12083 2745 7355 20391 21064 17850 16101 12783 12866 18478" 11.4 233 180
43 COMB 1 "321 6062 3830 17444 16889 10834 993 13763 15973 10260" 11.3 127 216
43 GRASP_NOBL 1 "21880 11537 19556 3002 10652 2462 2735 3125 2156 21392" 13 10 1666
43 GRASP_SIBL 1 "8448 10652 11537 11354 3002 2156 21392 12483 1797 3125" 12.8 228 2424
44 ES 2 "12057 15747 6587 16524 4425 8870 2699 9543 3150 10692" 10.8 126 588
44 BMB 2 "7978 8907 6587 11555 11811 18675 4711 20985 14589 9580" 10.8 303 899
44 ILS 2 "18413 22144 6587 18424 11811 17531 4711 122 14589 7328" 10.8 234 571
44 COMB 2 "3014 6406 6587 16524 4425 5887 4711 15287 4601 13994" 10.8 122 545
44 GRASP_NOBL 2 "4408 11537 3002 3125 10652 17403 19231 15125 2156 12861" 13.1 10 1744
44 GRASP_SIBL 2 "19285 3002 21989 15356 11537 15125 3125 2156 5512 10652" 12.8 229 2163
45 ES 3 "4005 11173 1558 16932 12309 22095 19410 4021 7695 10707" 10.8 130 569
45 BMB 3 "4005 11173 1558 16932 12309 22095 19410 4021 7695 10707" 10.8 274 590
45 ILS 3 "4005 11173 1558 16932 12309 22095 19410 4021 7695 10707" 10.8 223 409
45 COMB 3 "4005 11173 1558 16932 12309 22095 19410 4021 7695 10707" 10.8 128 552
45 GRASP_NOBL 3 "14220 3002 12825 11537 10652 17403 2156 21392 16358 3125" 13.3 10 1542
45 GRASP_SIBL 3 "2470 3002 11537 11379 17403 3125 10652 21392 2156 2307" 13.1 223 1863
46 ES 4 "21619 22531 13760 20810 2845 9035 14423 21168 10586 7720" 10.8 138 599
46 BMB 4 "13408 7555 11116 20745 4605 1077 6645 13841 11250 11200" 10.8 322 828
46 ILS 4 "7912 7555 9152 16618 4605 15835 3210 14851 11250 11200" 10.8 233 469
46 COMB 4 "11929 10754 11116 57 4605 12232 19954 3427 2695 11200" 10.8 128 554
46 GRASP_NOBL 4 "18427 11537 9693 3002 10652 3460 16292 7970 3125 21392" 12.8 10 1549
46 GRASP_SIBL 4 "22029 21392 3002 11537 17403 3125 10652 6731 2156 12155" 13.1 227 1903
47 ES 5 "1360 19807 7888 9693 7020 9315 324 13290 9594 3239" 10.8 123 543
47 BMB 5 "18469 9439 7888 9693 7020 22316 324 5916 9594 9656" 10.8 275 796
47 ILS 5 "18469 18412 7888 9693 7020 22316 12163 5916 9594 9656" 10.8 235 472
47 COMB 5 "11365 18412 7888 9693 12790 22316 18788 5916 9594 3239" 10.8 123 533
47 GRASP_NOBL 5 "20013 7608 17403 2156 3002 21392 11537 10652 7143 16292" 13 10 1571
47 GRASP_SIBL 5 "6030 3507 11537 21392 3125 10866 2156 3002 16292 17403" 12.8 220 1878
