seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 ES 1 "5285 756 186 4862 567 2459 3551 5884 1302 2913" 11.5 137 129
43 BMB 1 "2875 1896 5054 3677 509 2361 2843 5324 4044 4098" 11.4 239 136
43 ILS 1 "1734 3206 3307 3668 442 595 6199 4329 214 1445" 11.4 264 149
43 COMB 1 "52 3957 413 140 310 223 451 5868 716 5287" 11.4 132 142
43 GRASP_NOBL 1 "4422 5884 4625 2455 2798 5337 2392 4015 3473 1896" 12.5 10 435
43 GRASP_SIBL 1 "513 5337 5884 2715 2455 2798 2392 1294 3473 1896" 12.6 243 548
44 ES 2 "4057 1478 775 505 5219 2635 4409 5060 5747 1183" 10.8 107 143
44 BMB 2 "2536 2425 656 5241 521 77 2012 4921 1647 60" 11.3 230 157
44 ILS 2 "4057 1478 775 505 5219 2635 4409 5060 5747 1183" 10.8 213 116
44 COMB 2 "4057 1478 907 505 3101 3472 4409 2805 4080 5267" 11.3 116 156
44 GRASP_NOBL 2 "1854 5884 2392 3473 5066 5337 429 474 2798 1956" 12.2 10 366
44 GRASP_SIBL 2 "3957 5884 2455 1896 4443 3473 5337 44 1193 2798" 12.5 253 535
45 ES 3 "3990 6073 216 5870 2905 2336 6240 2718 5008 5142" 10.8 109 144
45 BMB 3 "5449 2441 2600 4989 5337 1918 1465 5886 5160 1669" 11.3 230 156
45 ILS 3 "3990 6073 216 5870 2905 2336 6240 2718 5008 5142" 10.8 222 129
45 COMB 3 "3990 6073 216 5870 2905 2336 6240 2718 5008 5142" 10.8 115 156
45 GRASP_NOBL 3 "3582 2392 5884 4649 1896 2798 5337 1076 3473 2455" 12.6 10 367
45 GRASP_SIBL 3 "3378 2733 5884 5337 2455 3473 2392 2798 345 1952" 12.5 210 497
46 ES 4 "4780 190 908 4495 1967 3689 3234 2537 2907 603" 10.8 113 155
46 BMB 4 "4780 190 908 4495 1967 3689 3234 2537 2907 603" 10.8 237 157
46 ILS 4 "4780 190 908 4495 1967 3689 3234 2537 2907 603" 10.8 233 133
46 COMB 4 "4780 190 908 4495 1967 3689 3234 2537 2907 603" 10.8 117 158
46 GRASP_NOBL 4 "872 5884 3473 5337 133 2455 1896 2984 6069 2392" 12.5 10 368
46 GRASP_SIBL 4 "3387 5884 2455 1952 5337 4238 5336 3473 2798 1896" 12.5 228 526
47 ES 5 "5637 2301 4036 4160 6244 239 4292 3394 3213 3083" 11.4 214 297
47 BMB 5 "3770 439 4991 3411 1679 5750 1105 2716 4055 5762" 10.8 228 171
47 ILS 5 "3770 439 4991 3411 1679 5750 1105 2716 4055 5762" 10.8 220 124
47 COMB 5 "3770 439 4991 3411 1679 5750 1105 2716 4055 5762" 10.8 114 156
47 GRASP_NOBL 5 "3839 679 5884 3473 2455 5337 87 2798 4292 1896" 12.2 10 368
47 GRASP_SIBL 5 "4989 5884 5337 1654 3473 2455 1896 2984 2392 2435" 12.5 254 532
