TRI_FACILITY_ID,REGION,FAC_LONGITUDE,FAC_LATITUDE
40324CLTTN150CA,4,843245,381145
46517CRWNN1718W,5,853930,413930
48223LDCMP12727,5,831355,422252
33823BRLMT227PE,4,814803,280347
14111CRSCN1285E,2,785607,423604
85017CRYST3302W,9,1120753,332905
54901CRWNC3475N,5,883210,440350
60173PVSRV1050R,5,880316,420312
21230GLDST2105G,3,763559,391605
29115DNPRD451PR,4,805101,332710
2808WBLCHF77BRA,4,,
4112WMRTHN1585L,4,,
07080KRNFM1253N,2,742540,403448
76110FXTRX3000W,6,972138,324132
42029PNNWLALTON,4,882154,370315
52247YDRFDRR1XX,7,914405,413414
28001STHRN2100S,4,801002,355025
7141WCLNHR3763H,6,,
88005RMGNT301RE,6,1065508,321625
14218SPRKC33SPA,2,784924,424835
18974PNNWL955ME,3,750506,401236
97062FJMMR11200,10,1224752,452312
90746YPLTS1055E,9,1181502,335233
62401KNRGY312SU,5,883247,390515
75050CLRKP11701,6,970341,324554
21601STNDR28320,3,760516,384648
7482WDLSBR1727N,6,,
53052GLNRYN9361,5,880000,430730
42135FRNKL322BW,4,863418,364605
75062YRKCH3309E,6,965724,325031
75482HNCXX906HI,6,953700,330900
85226STHWS50S56,9,1115746,331808
77026CRZRN2505C,6,952038,294737
49423LBRGN300E4,5,860738,424610
3305WRLSBT444NW,4,,
42701DWCRN760HO,4,855010,374000
17404YRKGR3600W,3,764752,395623
42754LGGTT435EM,4,861701,372928
14304NCTCR40047,2,790030,430525
08855THLBR100NE,2,742830,403305
75503KRRMC155BU,6,940338,332330
07080NFRMT4315N,2,742500,403500
51334KNTFDRR3HW,7,944930,432355
3380WLKLND377MA,4,,
19548STNLS1535M,3,754119,401657
21801HFFMN601BE,3,753516,382343
15661KNNMTMAINS,3,792137,401930
43567KNCRN21461,5,840849,413517
95776VLLYM1275S,9,1214620,384043
19355WYTHL31MOR,3,754039,400240
3340WLKPRK8RAIL,4,,
30720WRLDC431SO,4,845742,344600
74018LLGHNUSHIG,6,953430,362000
15840LLGHN249MA,3,410843,473004
43725GSMTH530NO,5,813605,400206
61832WYMNGLYNCH,5,873326,400841
90620WYMNG6881E,9,1180043,335202
64116NTDST1115A,7,943401,390834
45891KNNDY520EA,5,843435,405216
74003SPRRW101NJ,6,955841,364516
63110MZLNC4003P,7,901414,383737
44266LLNRC4879N,5,811304,410929
