seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 AGG_sinorden 1 "297 7030 4033 3580 5292 8696 5297 6890 1099 4680" 11.5 1000 834
43 AGG_conorden 1 "276 980 1589 3563 4118 4677 4949 6655 6968 7551" 11.5 1000 423
43 AGE_sinorden 1 "8220 7167 86 1654 2395 998 8370 5278 1219 2779" 11.4 1000 1267
43 AGE_conorden 1 "3699 5973 6424 1109 3638 4562 1816 4851 352 7103" 11.4 1000 330
43 AM1 1 "536 570 1838 2735 3123 3302 3841 6429 7340 8345" 11.7 1000 547
43 AM2 1 "638 1980 2329 2449 3705 4591 5691 6557 8245 8395" 11.8 1000 443
43 AM3 1 "1 1494 1664 3079 3589 4081 4180 5818 6557 5402" 11.8 1000 421
44 AGG_sinorden 2 "7854 2418 2846 6239 6405 7673 8215 1217 1154 5630" 11.4 1000 1104
44 AGG_conorden 2 "275 1066 1401 2214 4552 5516 5671 6082 7968 8669" 11.8 1000 516
44 AGE_sinorden 2 "1007 8105 398 2058 5590 1835 5730 2974 3717 5979" 11.4 1000 1474
44 AGE_conorden 2 "46 294 1689 3327 4031 4372 5847 6334 7497 8328" 11.4 1000 417
44 AM1 2 "86 570 1309 1735 2325 3146 3690 4573 6222 6835" 11.8 1000 883
44 AM2 2 "497 1262 2097 2747 3752 4179 5036 5314 5477 8660" 11.4 1000 567
44 AM3 2 "1301 1835 2437 3159 4116 4750 5705 6933 3924 8597" 11.4 1000 431
45 AGG_sinorden 3 "1555 4314 3840 4818 2267 5544 4935 6211 7354 6367" 11.4 1000 1452
45 AGG_conorden 3 "155 257 1084 2133 2482 4373 6601 5968 6497 7224" 11.4 1000 389
45 AGE_sinorden 3 "1106 5872 4236 5191 923 1132 4434 2288 8206 2182" 11.5 1000 1445
45 AGE_conorden 3 "1034 2608 3143 3505 5519 4677 5822 6825 7872 8685" 11.5 1000 401
45 AM1 3 "189 1757 1850 2288 3975 4490 4737 5516 7406 8485" 11.9 1000 766
45 AM2 3 "747 1014 2062 2242 2779 3406 4408 6890 7817 8797" 11.5 1000 440
45 AM3 3 "378 791 2983 3250 3828 4327 4473 5435 6367 7418" 11.3 1000 422
46 AGG_sinorden 4 "5872 117 6364 570 6313 3105 1346 4750 4491 7137" 11.8 1000 1386
46 AGG_conorden 4 "166 1927 2127 3495 4273 6533 6585 6931 7655 8077" 11.4 1000 415
46 AGE_sinorden 4 "7294 5184 5255 6516 2957 4565 3638 42 5872 602" 11.5 1000 1542
46 AGE_conorden 4 "1312 2003 2868 3181 4632 4677 5585 6601 8069 8399" 11.5 1000 389
46 AM1 4 "710 1543 2031 3360 4817 5516 5817 6785 7428 8451" 11.8 1000 651
46 AM2 4 "1199 2112 2566 4279 4875 5932 7128 8172 8634 8735" 11.4 1000 501
46 AM3 4 "570 1553 2004 2681 3440 4576 5544 6488 7132 8022" 11.5 1000 477
47 AGG_sinorden 5 "1645 8608 182 6872 3777 8735 3079 8075 5485 7928" 11.4 1000 1303
47 AGG_conorden 5 "155 527 1834 538 3273 3622 4339 5176 6890 7635" 11.5 1000 446
47 AGE_sinorden 5 "4858 5516 5654 5135 519 6294 2549 6890 1863 5711" 11.8 1000 1622
47 AGE_conorden 5 "747 1403 2673 3297 3591 4918 5751 6572 7243 570" 11.5 1000 377
47 AM1 5 "367 866 1684 2546 2557 4228 4800 5766 7534 8225" 11.4 1000 650
47 AM2 5 "999 1811 2386 2931 3894 5108 6250 7196 7395 8716" 11.3 1000 436
47 AM3 5 "401 823 1378 2072 2386 4260 5242 6557 7844 8198" 11.6 1000 487
