seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 AGG_sinorden 1 "524 8430 18284 11537 2416 18372 2592 12995 895 6461" 11.8 1000 1283
43 AGG_conorden 1 "11974 14048 1929 7518 11765 4239 15029 5472 17898 299" 11.4 1000 388
43 AGE_sinorden 1 "7143 22257 21964 20378 3108 905 22373 9416 10790 2464" 11.5 1000 1504
43 AGE_conorden 1 "606 3331 4239 7638 12861 13127 15213 18237 20956 21779" 11.5 1000 414
43 AM1 1 "468 922 3316 5793 7058 8590 16087 16289 22156 22533" 11.4 1000 615
43 AM2 1 "2816 4864 6357 7540 9218 10988 13025 15321 20066 21522" 11.4 1000 456
43 AM3 1 "232 1987 4133 6407 9408 12839 13652 15059 17274 22446" 11.4 1000 459
44 AGG_sinorden 2 "19539 6218 4912 6890 8673 4452 3195 2959 5521 19097" 11.4 1000 1636
44 AGG_conorden 2 "921 3930 4521 5920 7148 8929 11309 15505 20359 21246" 11.3 1000 463
44 AGE_sinorden 2 "16340 8822 3796 15560 9146 8101 7454 15144 17266 21086" 11.4 1000 1960
44 AGE_conorden 2 "1976 4285 7398 10228 12137 12261 15861 17851 19004 19692" 11.4 1000 453
44 AM1 2 "207 295 1497 4218 6535 10406 11324 15429 18679 20851" 11.5 1000 697
44 AM2 2 "1987 3544 4943 6242 9898 12004 14633 3380 21074 22452" 11.3 1000 508
44 AM3 2 "783 2128 3002 6251 11197 12382 13078 16381 17796 20786" 11.8 1000 537
45 AGG_sinorden 3 "16797 13849 13425 5551 20482 9218 379 1321 2689 11708" 11.3 1000 1683
45 AGG_conorden 3 "2381 3994 5166 7675 9609 10652 13786 13911 15181 21630" 11.6 1000 520
45 AGE_sinorden 3 "12382 200 1512 22468 15307 3285 18057 12352 21129 3231" 11.5 1000 2272
45 AGE_conorden 3 "452 2140 4944 7250 9598 12675 14629 18482 19343 19782" 11.4 1000 479
45 AM1 3 "3125 3231 4723 7150 10402 11537 15219 17539 19228 21315" 11.9 1000 840
45 AM2 3 "2796 4242 4993 6685 9068 9934 10882 13993 17902 21320" 11.4 1000 524
45 AM3 3 "427 2757 4634 6172 7263 11635 13840 16223 18471 21059" 11.4 1000 649
46 AGG_sinorden 4 "1784 4050 14890 4114 18803 39 8390 18092 12343 5528" 11.4 1000 1783
46 AGG_conorden 4 "1043 2810 5440 6248 10492 14610 12861 16993 18107 22199" 11.5 1000 500
46 AGE_sinorden 4 "12137 4730 55 489 7789 22504 7066 2363 13210 3672" 11.4 1000 2246
46 AGE_conorden 4 "2156 3933 6344 8486 9250 12853 15964 19123 20304 20696" 11.5 1000 539
46 AM1 4 "6795 9142 12501 13215 16763 18471 19623 21392 21896 22646" 11.5 1000 876
46 AM2 4 "2959 3972 6952 8235 10031 11723 14564 17790 20422 22241" 11.3 1000 596
46 AM3 4 "3039 4807 6975 8533 11090 12569 14989 16545 21014 22682" 11.3 1000 599
47 AGG_sinorden 5 "7893 2561 16833 3181 10652 5916 9626 6036 13753 3970" 11.5 1000 1916
47 AGG_conorden 5 "668 3010 5828 4702 6426 11537 15644 16523 19067 21035" 11.8 1000 555
47 AGE_sinorden 5 "15779 10085 9678 7952 19363 20348 17418 12308 3002 6731" 11.5 1000 2699
47 AGE_conorden 5 "2230 3446 4623 6616 8950 10799 15804 17537 20348 21959" 11.4 1000 601
47 AM1 5 "1179 3402 682 6215 6948 7738 14155 15757 19447 21755" 11.4 1000 1327
47 AM2 5 "1188 10492 4904 5323 6627 10804 13515 17641 18213 21602" 11.3 1000 768
47 AM3 5 "1314 3397 4903 6567 7505 11161 13422 15903 18478 22208" 11.4 1000 574
