seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 AGG_sinorden 1 "3387 1295 293 291 151 1192 280 285 3437 2892" 13.6 1000 1269
43 AGG_conorden 1 "162 293 560 1300 1927 2652 3545 4040 4436 4032" 12.6 1000 506
43 AGE_sinorden 1 "1689 4717 1762 291 2922 4040 280 285 1483 1298" 13.7 1000 1358
43 AGE_conorden 1 "285 613 1300 1927 2446 2892 3437 4040 4436 4848" 12.5 1000 510
43 AM1 1 "162 283 293 1267 1300 1927 2652 3373 4040 4436" 13.2 1000 806
43 AM2 1 "84 293 1300 1733 689 2652 2851 2512 4040 2821" 13.1 1000 596
43 AM3 1 "162 293 299 1300 1927 2652 4032 4040 4243 5202" 13.4 1000 560
44 AGG_sinorden 2 "1264 2555 4844 3010 258 1785 761 300 4976 285" 13.4 1000 1144
44 AGG_conorden 2 "285 300 4043 848 1091 1277 1949 3496 4654 4829" 13.7 1000 601
44 AGE_sinorden 2 "1264 4031 1271 1279 536 1785 761 300 4483 285" 14.3 1000 1480
44 AGE_conorden 2 "285 300 1277 1371 2299 3557 3156 3816 4483 5098" 13.4 1000 618
44 AM1 2 "261 285 300 848 1277 1949 2288 3496 4386 4976" 13.7 1000 858
44 AM2 2 "285 300 848 1277 1683 1949 2288 2582 4386 4494" 12.9 1000 618
44 AM3 2 "285 300 848 1277 1455 1949 2582 3496 3562 4386" 13.4 1000 626
45 AGG_sinorden 3 "31 4107 300 76 53 3097 288 5026 545 1382" 13.4 1000 1092
45 AGG_conorden 3 "6 31 288 325 545 1103 1934 3097 4022 4031" 13.7 1000 624
45 AGE_sinorden 3 "31 6 3060 299 971 3097 288 4736 545 3747" 13.4 1000 1347
45 AGE_conorden 3 "288 545 664 1293 1934 3124 3410 3747 4495 5026" 12.8 1000 567
45 AM1 3 "6 72 288 545 1103 1934 3097 3410 3749 4022" 13.7 1000 923
45 AM2 3 "6 31 782 288 545 1037 1103 1946 4022 301" 14.1 1000 688
45 AM3 3 "6 4039 288 545 1103 1298 1934 3410 4022 301" 14.1 1000 681
46 AGG_sinorden 4 "302 659 1301 1285 3381 1262 265 3085 2804 270" 13.7 1000 1210
46 AGG_conorden 4 "72 265 931 1301 2122 302 3736 3807 4732 5179" 13.7 1000 637
46 AGE_sinorden 4 "302 1037 316 88 931 3520 265 19 3601 1284" 13.7 1000 1370
46 AGE_conorden 4 "265 267 718 1284 1552 4412 3520 3714 4037 4935" 13.4 1000 559
46 AM1 4 "72 265 269 1233 1298 1301 2122 3189 3807 4034" 14.3 1000 900
46 AM2 4 "72 265 931 1037 1301 2122 3736 3807 4732 5179" 13.7 1000 652
46 AM3 4 "72 265 931 1301 2122 302 3736 3807 4732 5179" 13.7 1000 642
47 AGG_sinorden 5 "280 283 358 3053 1930 4033 4024 3439 278 4311" 13.7 1000 1168
47 AGG_conorden 5 "279 280 658 2125 1271 3229 3380 4028 4033 4814" 13.7 1000 522
47 AGE_sinorden 5 "280 1298 271 4044 852 1522 1352 4178 278 3580" 13.4 1000 1357
47 AGE_conorden 5 "278 658 1298 1928 2101 2639 3044 3586 4033 5072" 12.8 1000 553
47 AM1 5 "103 280 658 1408 1779 2533 3229 3657 4033 4407" 12.9 1000 747
47 AM2 5 "278 280 658 1201 1269 1585 2455 3808 4033 4042" 13.7 1000 609
47 AM3 5 "159 280 297 658 1779 2905 3229 4026 4033 4745" 13.7 1000 589
