seed algoritmo ejecucion best_solution best_fitness evaluations time_ms
43 AGG_sinorden 1 "2721 1206 4582 2350 2952 26 111 235 2160 1250" 11.5 1000 712
43 AGG_conorden 1 "542 1105 1518 2445 3345 3682 4261 4464 5262 6138" 11.4 1000 328
43 AGE_sinorden 1 "55 3322 87 5831 109 3263 926 221 3425 2707" 11.4 1000 779
43 AGE_conorden 1 "5311 1745 1896 2262 2842 3323 3473 4439 5162 6112" 11.7 1000 395
43 AM1 1 "350 1184 1715 2344 2833 3708 4629 4826 5337 6159" 11.8 1000 522
43 AM2 1 "406 1308 2019 3109 3372 3615 3878 4059 4604 5564" 11.4 1000 354
43 AM3 1 "508 1453 2290 2721 3101 4516 5372 5608 5902 6277" 11.5 1000 343
44 AGG_sinorden 2 "5581 5103 5267 5913 1385 5771 1518 5221 681 6088" 11.3 1000 720
44 AGG_conorden 2 "577 1243 2013 2346 2798 3323 3510 4355 5337 5987" 11.8 1000 362
44 AGE_sinorden 2 "5287 5337 4366 2960 5542 5924 3934 1665 1764 4196" 11.5 1000 938
44 AGE_conorden 2 "138 934 1652 2193 2968 3473 3680 4490 5267 5879" 11.5 1000 335
44 AM1 2 "481 782 1152 1817 2721 3037 4330 5337 5844 6069" 11.8 1000 444
44 AM2 2 "121 631 973 1845 2363 2792 3248 3473 4938 2588" 11.5 1000 317
44 AM3 2 "273 885 1899 2506 2755 2960 3350 3694 4763 5617" 11.3 1000 314
45 AGG_sinorden 3 "395 5992 2414 3890 384 2188 2264 2864 463 4080" 11.4 1000 766
45 AGG_conorden 3 "657 949 1274 2290 2946 3705 4431 5345 5536 6277" 11.3 1000 289
45 AGE_sinorden 3 "5337 2074 4912 1527 2732 1167 26 2559 1706 4619" 11.5 1000 993
45 AGE_conorden 3 "26 465 1024 2172 2534 3473 3858 4467 5126 5794" 11.5 1000 341
45 AM1 3 "328 425 677 1164 1607 2117 3489 4209 4684 5651" 11.3 1000 405
45 AM2 3 "11 567 1517 2132 2578 3737 4239 4764 5147 5991" 11.3 1000 306
45 AM3 3 "216 733 1062 1546 2176 2852 3142 4391 5221 6182" 11.4 1000 340
46 AGG_sinorden 4 "817 372 4804 4395 158 2721 5019 886 5849 5014" 11.5 1000 836
46 AGG_conorden 4 "35 1003 1128 1378 2542 3323 3883 5147 5331 5884" 11.5 1000 360
46 AGE_sinorden 4 "38 4912 4055 4421 3644 119 1083 75 4213 3103" 11.4 1000 982
46 AGE_conorden 4 "410 1259 1809 2032 2546 2763 3473 4374 4903 5538" 11.4 1000 325
46 AM1 4 "32 1336 2215 3093 3343 4109 4322 4486 5066 5218" 11.4 1000 441
46 AM2 4 "459 727 1085 1556 2429 3307 4712 5321 5884 5943" 11.5 1000 327
46 AM3 4 "135 1195 1621 1636 2480 2817 4098 4651 5066 5844" 11.4 1000 316
47 AGG_sinorden 5 "1080 658 2259 5222 2424 699 1751 2950 1486 628" 11.4 1000 833
47 AGG_conorden 5 "1133 2182 2753 2984 3737 4393 4828 5233 5582 6204" 11.4 1000 303
47 AGE_sinorden 5 "1890 3156 1620 3668 4006 1790 1175 1504 482 70" 11.4 1000 1019
47 AGE_conorden 5 "716 1020 1327 1563 2377 2811 4011 4771 4894 6021" 11.4 1000 308
47 AM1 5 "513 1102 2020 2212 2738 3600 4164 4747 5337 5948" 11.5 1000 459
47 AM2 5 "11 452 714 1444 1840 2721 2964 3555 4475 5226" 11.5 1000 367
47 AM3 5 "7 268 871 1261 1636 4380 2832 340 4293 5347" 11.4 1000 368
